mean,std,variance,min,max,median,q25,q75,entropy,autocorr_lag1,hurst_exponent,sample_id,class_label,text_length,num_tokens
8266.683,87045.234,7576873500.0,1.0009308,1227163.5,16.581306,3.135792,359.4436,0.06215038042171733,-0.00808629371666992,0.5055075767160869,126,ai_mimic,166,203
76644.61,759506.4,576849900000.0,1.0032413,9305426.0,35.57668,4.525353,619.16656,0.07546793353588599,-0.009780770442268199,0.49148098751269964,127,ai_mimic,134,161
1757.1067,7314.0903,53495916.0,1.0003425,73087.62,28.560905,5.066698,225.55496,0.4448013061378035,-0.03999241923932864,0.4607069801984264,128,ai_mimic,160,211
3929.1423,25942.21,672998340.0,1.0024276,326458.56,18.950989,4.0619144,311.68008,0.1854278839234865,-0.0170459488092016,0.5186479439476748,129,ai_mimic,161,195
23366.434,241089.19,58123997000.0,1.0068083,3329378.5,27.013664,5.0275993,305.99756,0.061894117266304574,-0.008958073101691048,0.4923414587365683,130,ai_mimic,170,204
4105.691,24493.611,599936960.0,1.0002584,303150.75,34.521286,5.422825,584.7484,0.21779258348435218,-0.025033679045211296,0.49391817325588866,131,ai_mimic,157,184
2894.631,10203.175,104104780.0,1.0007873,84828.25,20.46102,3.1902308,554.658,0.5487114834277684,-0.028239738565240247,0.5667229931540948,132,ai_mimic,150,177
51506.26,730113.44,533065600000.0,1.000347,10806102.0,30.079449,2.9425294,497.6793,0.02927614031747148,-0.004663249967489241,0.499561880168596,133,ai_mimic,158,218
7161.763,59148.105,3498498600.0,1.0014507,764906.0,27.587585,4.7128696,372.4381,0.0993896881518103,-0.014421824678042924,0.4890352766401411,134,ai_mimic,157,188
41756.51,519055.1,269418180000.0,1.0022223,6984426.5,38.169407,3.8954062,996.3098,0.034389878162590086,-0.006265685471805207,0.49941329875527785,135,ai_mimic,145,180
16334.764,213611.38,45629817000.0,1.0381867,3160512.2,33.715107,5.7034245,389.92017,0.02927614719156735,-0.005486798727476003,0.49942461611939615,136,ai_mimic,177,218
13009.882,69517.984,4832750600.0,1.0010892,867699.06,56.007946,4.691197,800.94,0.2867499277153472,-0.02821367393689099,0.4951859219731849,137,ai_mimic,173,212
1716.597,7456.222,55595250.0,1.000902,77946.26,19.180752,3.3742402,431.16904,0.40423975624925185,-0.0457281681165916,0.5257455653593548,138,ai_mimic,181,219
6079.111,72732.48,5290013000.0,1.0016855,1083676.8,22.982136,3.4819334,447.74515,0.02894072718876846,-0.006835211795247027,0.4993738628783065,139,ai_mimic,179,221
72242.33,966083.75,933317840000.0,1.0061997,14387861.0,25.713505,4.718374,525.0736,0.057641074676245505,-0.005601939145210579,0.4989851633538653,140,ai_mimic,179,222
5121.5786,38295.33,1466532100.0,1.0008292,466528.72,16.000717,3.8261418,246.4981,0.16144317152404272,-0.01735664113466741,0.46303701619980764,141,ai_mimic,175,216
4824.354,33256.195,1105974700.0,1.0010688,436124.7,22.78569,3.514069,551.08905,0.19850219573338787,-0.01752881596781991,0.4708502349620154,142,ai_mimic,177,231
17923.088,186367.89,34732990000.0,1.0080519,2722378.8,34.03162,4.1904407,566.73206,0.0867603567178253,-0.008191069990347235,0.5145028721867521,143,ai_mimic,172,221
76922.875,1085589.5,1178504700000.0,1.1489844,15845314.0,40.956055,4.1425133,600.7622,0.029972743140530556,-0.004666994376426451,0.49955029371575244,144,ai_mimic,173,212
